epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,31.611,0.79073,1.18475,1.22044,1,0.83333,0.9166,0.65179,1.24356,1.78631,1.47621,0.0100031,3.08043e-06,3.08043e-06
92,31.9273,0.72332,0.98141,1.11893,1,0.83333,0.9166,0.70642,1.19516,1.67094,1.44851,0.0090027,2.69857e-06,2.69857e-06
93,32.2333,0.85898,1.15811,1.1254,1,0.83333,0.9166,0.70642,1.19516,1.67094,1.44851,0.00800235,2.35072e-06,2.35072e-06
94,32.5414,0.81326,0.89246,1.04153,1,0.83333,0.9166,0.70642,1.19516,1.67094,1.44851,0.00700204,2.03867e-06,2.03867e-06
95,32.8441,0.95791,1.25453,1.13837,1,0.83333,0.9166,0.70642,1.19516,1.67094,1.44851,0.00600176,1.76417e-06,1.76417e-06
96,33.1641,0.93905,1.38565,1.30328,1,0.83333,0.9166,0.73545,1.11933,1.50142,1.37882,0.00500153,1.52896e-06,1.52896e-06
97,33.4601,0.74737,1.26371,1.20799,1,0.83333,0.9166,0.73545,1.11933,1.50142,1.37882,0.00400133,1.33471e-06,1.33471e-06
98,33.751,0.70866,0.96445,1.0926,1,0.83333,0.9166,0.73545,1.11933,1.50142,1.37882,0.00300118,1.18309e-06,1.18309e-06
99,34.0439,0.71767,1.1713,1.18234,1,0.83333,0.9166,0.73545,1.11933,1.50142,1.37882,0.00200108,1.07572e-06,1.07572e-06
100,34.355,0.77661,1.18398,1.18689,1,0.83333,0.9166,0.73545,1.06451,1.39857,1.34267,0.00100101,1.01418e-06,1.01418e-06
